season_year,season,list_url,xml_url,n_flights,n_with_igc,n_downloaded
1999,1999-2000,https://parapente.ffvl.fr/cfd/liste/1999,https://parapente.ffvl.fr/cfd/liste/1999?xml=1,10,10,10
2000,2000-2001,https://parapente.ffvl.fr/cfd/liste/2000,https://parapente.ffvl.fr/cfd/liste/2000?xml=1,832,1,1
2001,2001-2002,https://parapente.ffvl.fr/cfd/liste/2001,https://parapente.ffvl.fr/cfd/liste/2001?xml=1,1150,3,3
2002,2002-2003,https://parapente.ffvl.fr/cfd/liste/2002,https://parapente.ffvl.fr/cfd/liste/2002?xml=1,1996,123,123
2003,2003-2004,https://parapente.ffvl.fr/cfd/liste/2003,https://parapente.ffvl.fr/cfd/liste/2003?xml=1,1470,337,337
2004,2004-2005,https://parapente.ffvl.fr/cfd/liste/2004,https://parapente.ffvl.fr/cfd/liste/2004?xml=1,1765,574,574
2005,2005-2006,https://parapente.ffvl.fr/cfd/liste/2005,https://parapente.ffvl.fr/cfd/liste/2005?xml=1,2162,894,894
2006,2006-2007,https://parapente.ffvl.fr/cfd/liste/2006,https://parapente.ffvl.fr/cfd/liste/2006?xml=1,2386,1016,1016
2007,2007-2008,https://parapente.ffvl.fr/cfd/liste/2007,https://parapente.ffvl.fr/cfd/liste/2007?xml=1,3081,1667,1667
2008,2008-2009,https://parapente.ffvl.fr/cfd/liste/2008,https://parapente.ffvl.fr/cfd/liste/2008?xml=1,3974,2614,2613
2009,2009-2010,https://parapente.ffvl.fr/cfd/liste/2009,https://parapente.ffvl.fr/cfd/liste/2009?xml=1,4171,3059,3059
2010,2010-2011,https://parapente.ffvl.fr/cfd/liste/2010,https://parapente.ffvl.fr/cfd/liste/2010?xml=1,4872,4185,4169
2011,2011-2012,https://parapente.ffvl.fr/cfd/liste/2011,https://parapente.ffvl.fr/cfd/liste/2011?xml=1,6744,6075,6065
2012,2012-2013,https://parapente.ffvl.fr/cfd/liste/2012,https://parapente.ffvl.fr/cfd/liste/2012?xml=1,7873,7106,7075
2013,2013-2014,https://parapente.ffvl.fr/cfd/liste/2013,https://parapente.ffvl.fr/cfd/liste/2013?xml=1,9804,9157,9127
2014,2014-2015,https://parapente.ffvl.fr/cfd/liste/2014,https://parapente.ffvl.fr/cfd/liste/2014?xml=1,13793,13293,13254
2015,2015-2016,https://parapente.ffvl.fr/cfd/liste/2015,https://parapente.ffvl.fr/cfd/liste/2015?xml=1,13982,13703,13696
2016,2016-2017,https://parapente.ffvl.fr/cfd/liste/2016,https://parapente.ffvl.fr/cfd/liste/2016?xml=1,15760,15534,15528
2017,2017-2018,https://parapente.ffvl.fr/cfd/liste/2017,https://parapente.ffvl.fr/cfd/liste/2017?xml=1,14917,14682,14676
2018,2018-2019,https://parapente.ffvl.fr/cfd/liste/2018,https://parapente.ffvl.fr/cfd/liste/2018?xml=1,16702,16517,16508
2019,2019-2020,https://parapente.ffvl.fr/cfd/liste/2019,https://parapente.ffvl.fr/cfd/liste/2019?xml=1,10966,10868,10863
2020,2020-2021,https://parapente.ffvl.fr/cfd/liste/2020,https://parapente.ffvl.fr/cfd/liste/2020?xml=1,9500,9483,9480
2021,2021-2022,https://parapente.ffvl.fr/cfd/liste/2021,https://parapente.ffvl.fr/cfd/liste/2021?xml=1,14552,14507,14502
2022,2022-2023,https://parapente.ffvl.fr/cfd/liste/2022,https://parapente.ffvl.fr/cfd/liste/2022?xml=1,11590,11561,11560
2023,2023-2024,https://parapente.ffvl.fr/cfd/liste/2023,https://parapente.ffvl.fr/cfd/liste/2023?xml=1,10372,10362,10360
2024,2024-2025,https://parapente.ffvl.fr/cfd/liste/2024,https://parapente.ffvl.fr/cfd/liste/2024?xml=1,10906,10885,10884
2025,2025-2026,https://parapente.ffvl.fr/cfd/liste/2025,https://parapente.ffvl.fr/cfd/liste/2025?xml=1,8013,8009,8008
